country,latitude,longitude,continent,reg_latitude,reg_longitude,ISO3,REGION,GEO3
Montenegro,42.708678,19.37439,Europe,48.499998,18.3833318,MNE,Europe,Central Europe
Madagascar,-18.766947,46.869107,Africa,8.7832,29.5085,MDG,Africa,Western Indian Ocean
Marshall Islands,7.131474,171.184478,Oceania,-25.2744,148.7751,MHL,Australia,South Pacific
Macedonia [FYROM],41.608635,21.745275,Europe,48.499998,18.3833318,MKD,Europe,Central Europe
Mali,17.570692,-3.996166,Africa,8.7832,29.5085,MLI,Africa,Western Africa
Myanmar [Burma],21.913965,95.956223,East Asia,38.7946,106.5348,MMR,Asia,Southeast Asia
Mongolia,46.862496,103.846656,East Asia,38.7946,106.5348,MNG,Asia,NW Pacific and East Asia
Macau,22.198745,113.543873,East Asia,38.7946,106.5348,MAC,Asia,NW Pacific and East Asia
Northern Mariana Islands,17.33083,145.38469,Oceania,-25.2744,148.7751,MNP,Australia,South Pacific
Martinique,14.641528,-61.024174,Caribbean,21.4691,-78.6569,,South America,Caribbean
Mauritania,21.00789,-10.940835,Africa,8.7832,29.5085,MRT,Africa,Western Africa
Montserrat,16.742498,-62.187366,Caribbean,21.4691,-78.6569,MSR,South America,Caribbean
Malta,35.937496,14.375416,Europe,48.499998,18.3833318,MLT,Europe,Western Europe
